,Symbol,CompanyType,ICBIndustry
0,STB,Bank,8355
1,ACB,Bank,8355
2,SHB,Bank,8355
3,VCB,Bank,8355
4,CTG,Bank,8355
5,EIB,Bank,8355
6,NVB,Bank,8355
7,MBB,Bank,8355
8,BID,Bank,8355
9,VIB,Bank,8355
10,KLB,Bank,8355
11,VPB,Bank,8355
12,LPB,Bank,8355
13,BAB,Bank,8355
14,HDB,Bank,8355
15,TPB,Bank,8355
16,TCB,Bank,8355
17,EVF,Bank,8355
18,VBB,Bank,8355
19,BVB,Bank,8355
20,NAB,Bank,8355
21,SGB,Bank,8355
22,MSB,Bank,8355
23,PGB,Bank,8355
24,ABB,Bank,8355
25,OCB,Bank,8355
26,SSB,Bank,8355
27,VAB,Bank,8355
28,TIN,Bank,8777
